P_h,Error_P_h,t,Error_t
0.0001,0.00001,0,0.038
0.00012,0.00001,1.836,0.038
0.00014,0.00001,3.868,0.038
0.00016,0.00001,6.101,0.038
0.00018,0.00001,8.539,0.038
0.0002,0.00001,11.233,0.038
0.00022,0.00001,13.966,0.038
0.00024,0.00001,16.565,0.038
0.00026,0.00001,19.301,0.038
0.00028,0.00001,22.128,0.038
0.0003,0.00001,24.711,0.038
0.00032,0.00001,27.898,0.038
0.00034,0.00001,30.696,0.038
0.00036,0.00001,33.997,0.038
0.00038,0.00001,36.89,0.038
0.0004,0.00001,39.958,0.038
0.00042,0.00001,43.191,0.038
0.00044,0.00001,46.42,0.038
0.00046,0.00001,49.592,0.038
0.00048,0.00001,53.156,0.038
0.0005,0.00001,56.356,0.038
0.00052,0.00001,60.02,0.038
0.00054,0.00001,63.62,0.038
0.00056,0.00001,66.45,0.038
0.00058,0.00001,69.78,0.038
0.0006,0.00001,73.346,0.038
