P_h,Error_P_h,t,Error_t
0.0006,0.00001,0,0.038
0.00058,0.00001,0.168,0.038
0.00056,0.00001,0.303,0.038
0.00054,0.00001,0.469,0.038
0.00052,0.00001,0.636,0.038
0.0005,0.00001,0.836,0.038
0.00048,0.00001,1.035,0.038
0.00046,0.00001,1.232,0.038
0.00044,0.00001,1.468,0.038
0.00042,0.00001,1.735,0.038
0.0004,0.00001,2.003,0.038
0.00038,0.00001,2.3,0.038
0.00036,0.00001,2.601,0.038
0.00034,0.00001,2.969,0.038
0.00032,0.00001,3.365,0.038
0.0003,0.00001,3.831,0.038
0.00028,0.00001,4.3,0.038
0.00026,0.00001,4.899,0.038
0.00024,0.00001,5.598,0.038
0.00022,0.00001,6.403,0.038
0.0002,0.00001,7.398,0.038
0.00018,0.00001,8.765,0.038
0.00016,0.00001,10.931,0.038
0.00014,0.00001,14.466,0.038
0.00012,0.00001,26.325,0.038
0.0001,0.00001,83.863,0.038
