T,Error_T,h_upper,h_lower,h_lower_condensate,Error_h
299.15,0.05,0.106,0.0739,0.17475,0.0005
300.15,0.05,0.1068,0.07345,0.1742,0.0005
301.15,0.05,0.10755,0.0727,0.1736,0.0005
302.15,0.05,0.1083,0.072,0.1728,0.0005
303.15,0.05,0.1093,0.071,0.1721,0.0005
304.15,0.05,0.1103,0.0702,0.1711,0.0005
305.15,0.05,0.1112,0.0692,0.1704,0.0005
306.15,0.05,0.1122,0.0684,0.1692,0.0005
307.15,0.05,0.1132,0.0674,0.168,0.0005
308.15,0.05,0.11435,0.0663,0.1669,0.0005
309.15,0.05,0.1155,0.0651,0.1657,0.0005
310.15,0.05,0.1166,0.0633,0.1633,0.0005
311.15,0.05,0.1175,0.062,0.1623,0.0005
