x_L,Error_x_L,I_full,Error_I_full,I_L,Error_I_L,I_C,Error_I_C
50,0.5,48,0.5,33,0.5,44,0.5
52,0.5,44,0.5,33,0.5,44,0.5
54,0.5,41,0.5,35,0.5,44,0.5
56,0.5,37,0.5,36,0.5,44,0.5
58,0.5,33,0.5,37,0.5,44,0.5
60,0.5,30,0.5,38,0.5,44,0.5
62,0.5,36,0.5,38,0.5,43,0.5
64,0.5,23,0.5,40,0.5,44,0.5
66,0.5,21,0.5,42,0.5,44,0.5
68,0.5,19,1,43,0.5,44,0.5
70,0.5,20,1,44,0.5,44,0.5
72,0.5,22,0.5,46,0.5,44,0.5
74,0.5,25,0.5,48,0.5,44,0.5
76,0.5,28,0.5,49,0.5,44,0.5
78,0.5,34,0.5,51,0.5,44,0.5
80,0.5,39,0.5,52,0.5,44,0.5
82,0.5,47,0.5,54,0.5,44,0.5
84,0.5,52,0.5,56,0.5,44,0.5
86,0.5,62,0.5,58,0.5,44,0.5
88,0.5,68,0.5,59,0.5,44,0.5
90,0.5,74,0.5,62,0.5,44,0.5
